name,lat,lon,status,P20_001,P20_002,P20_003,P20_004,P20_005,P20_006,P20_007,P20_008,P20_009,P20_010,P20_011,P20_012,レベル,備考,緯度,経度,NO
宇和島市保健センター,33.18199135,132.5477865,,38203,宇和島市保健センター,愛媛県宇和島市祝森甲811番地,収容施設,912,1824,0,0,0,0,0,1,3,,33.18199135,132.5477865,853
宇和島市役所,33.223212,132.560493,,38203,宇和島市役所,愛媛県宇和島市曙町1番地,一時避難場所,15231,10154,0,0,0,0,0,1,1,,33.223212,132.560493,854
宇和島市役所宇和海支所,33.191794,132.444753,,38203,宇和島市役所宇和海支所,愛媛県宇和島市下波1016番地,収容施設,265,530,0,0,0,0,0,1,3,,33.191794,132.444753,855
宇和島道路坂下津トンネル横,33.21646141,132.5505818,,38203,宇和島道路坂下津トンネル横,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.21646141,132.5505818,856
宇和島南中等教育学校,33.215098,132.557259,,38203,宇和島南中等教育学校,愛媛県宇和島市文京町5番1号,収容施設,5847,11695,0,0,0,0,0,1,1,,33.215098,132.557259,857
浦知小学校,33.064376,132.489935,,38203,浦知小学校,愛媛県宇和島市津島町浦知380,収容施設、一時避難場所,3580,7195,0,0,0,0,0,1,1,,33.064376,132.489935,858
浦知小学校裏農道,33.06259822,132.4925732,,38203,浦知小学校裏農道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.06259822,132.4925732,859
永楽寺及び共同墓地,33.05975935,132.4835859,,38203,永楽寺及び共同墓地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.05975935,132.4835859,860
円通寺,33.08354332,132.4723648,,38203,円通寺,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.08354332,132.4723648,861
於泥集会所裏農道,33.104162,132.505899,,38203,於泥集会所裏農道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.104162,132.505899,862
奥浦神社,33.27466355,132.4856312,,38203,奥浦神社,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.27466355,132.4856312,863
奥高串集会所,33.26992257,132.5717221,,38203,奥高串集会所,愛媛県宇和島市高串2番耕地1588番地（奥高串）,収容施設、津波一時避難場所,21,42,0,0,0,0,0,1,4,,33.26992257,132.5717221,864
奥高串神社,33.2708661,132.570226,,38203,奥高串神社,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.2708661,132.570226,865
奥南公民館,33.26982986,132.4915546,,38203,奥南公民館,愛媛県宇和島市吉田町奥浦甲1番地1,一時避難場所,295,-1,0,0,0,0,0,1,4,,33.26982986,132.4915546,866
奥南小学校,33.271948,132.488076,,38203,奥南小学校,愛媛県宇和島市吉田町奥浦甲65-1,収容施設、一時避難場所,6240,-1,0,0,0,0,0,1,1,,33.271948,132.488076,867
奥平さん駐車場（下２）,33.23977874,132.5546544,,38203,奥平さん駐車場（下２）,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.23977874,132.5546544,868
横田川沿いの農道,33.16552791,132.4567508,,38203,横田川沿いの農道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.16552791,132.4567508,869
岡村孝行宅裏山（庵寺裏山）,33.13094352,132.5193835,,38203,岡村孝行宅裏山（庵寺裏山）,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.13094352,132.5193835,870
沖原アパート奥の砂防ダム,33.23689823,132.5565178,,38203,沖原アパート奥の砂防ダム,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.23689823,132.5565178,871
音地集会所,33.3065576,132.6587018,,38203,音地集会所,愛媛県宇和島市三間町音地209番地,収容施設,-1,-1,0,0,0,0,0,1,4,,33.3065576,132.6587018,872
下高串集会所,33.245203,132.570356,,38203,下高串集会所,愛媛県宇和島市高串1番耕地565番地（下高串）,収容施設,18,36,0,0,0,0,0,1,4,,33.245203,132.570356,873
下高串集会所裏の墓地,33.24530984,132.5707333,,38203,下高串集会所裏の墓地,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,4,,33.24530984,132.5707333,874
下谷清宅裏みかん山,33.14053498,132.4839958,,38203,下谷清宅裏みかん山,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.14053498,132.4839958,875
下灘公民館,33.077969,132.487476,,38203,下灘公民館,愛媛県宇和島市津島町嵐586番地,収容施設、一時避難場所,1330,2707,0,0,0,0,0,1,1,,33.077969,132.487476,876
下灘小学校,33.085379,132.478412,,38203,下灘小学校,愛媛県宇和島市津島町鼡鳴135,収容施設、一時避難場所,6930,13898,0,0,0,0,0,1,1,,33.085379,132.478412,877
下波西集会所,33.16865961,132.4562536,,38203,下波西集会所,愛媛県宇和島市下波4361番地（西）,収容施設,33,66,0,0,0,0,0,1,4,,33.16865961,132.4562536,878
下波側県道,33.15565539,132.4336455,,38203,下波側県道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.15565539,132.4336455,879
加地スマ子さん宅裏の農道,33.22198846,132.5458398,,38203,加地スマ子さん宅裏の農道,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,宇和島市の回答より,33.22198846,132.5458398,880
加茂神社,33.16709937,132.4798479,,38203,加茂神社,愛媛県宇和島市,津波一時避難場所,-1,-1,0,1,0,0,0,0,3,,33.16709937,132.4798479,881
